imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,aveImgS,dSdskip,pixVar,clustVar,tailRatio,DC,EXP,AMPL,HCKDRIN,VCKDRIN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_11.fits,1,1200,1200,632.4377653854262,3 +/- 1.8,7.925840066251132,-1 +/- -1,-1.0,-1.0,1.5129393068685553,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.35,-3.35,2.21,2.21
Img_00.fits,1,1200,1200,77.54923485235628,-1 +/- -1,2.281604724077371,-1 +/- -1,-1.0,-1.0,84.52726127505278,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_15.fits,1,1200,1200,76.4712306214107,-1 +/- -1,5.8385385252696596,-1 +/- -1,-1.0,-1.0,69.39786820636316,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.0,-5.0,2.21,2.21
Img_08.fits,1,1200,1200,88.12031968016082,-1 +/- -1,6.199705123763909,-1 +/- -1,-1.0,-1.0,36.069350142009,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_23.fits,4000,2400000,20,256.13669246577035,8 +/- 0.3,4.6353056826603005,-11 +/- 2.6,114581.91582240596,7000766.872495091,0.0,0 +/- 0,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.35,-3.35,2.21,2.21
Img_13.fits,1,1200,1200,77.83326624491791,-1 +/- -1,5.861084099717026,-1 +/- -1,-1.0,-1.0,52.47048929473326,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.65,-3.65,2.21,2.21
Img_07.fits,1,1200,1200,153.13934261747974,-1 +/- -1,6.450822605024532,-1 +/- -1,-1.0,-1.0,0.8770662648513176,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.0,-3.0,2.21,2.21
Img_29.fits,1,1200,1200,76.5526583418407,-1 +/- -1,6.031862132596259,-1 +/- -1,-1.0,-1.0,53.215995619854425,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_02.fits,4000,2400000,20,80.4173096237953,1.7 +/- 0.058,4.361927294733472,-0.4 +/- 0.16,7213.516163534494,4220453.259487173,0.0,1 +/- 0.025,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_25.fits,1,1200,1200,77.58776544047952,64 +/- 21,6.455275741557073,-1 +/- -1,-1.0,-1.0,54.970128149562356,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.0,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_03.fits,1,1200,1200,92.3540968752291,-1 +/- -1,6.12548478107815,-1 +/- -1,-1.0,-1.0,31.113925745599026,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_04.fits,1,1200,1200,91.09136822835175,-1 +/- -1,6.2153627700871965,-1 +/- -1,-1.0,-1.0,33.41622469083548,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_14.fits,1,1200,1200,76.13746009421897,-1 +/- -1,5.899363534795119,-1 +/- -1,-1.0,-1.0,59.99133251583401,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.0,-4.0,2.21,2.21
